"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","11","PreRegisterService","sendDiscordWebhook","","","","should send webhook for pre-registration",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","4","AuthService","createUser","","","","should create a new user if user does not exist",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","3","StaticController","getCountryCode","","","","should return country code",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","2","RefreshStrategy","","","","","should validate user if refresh token is valid",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","2","StaticService","_getCountryCode","","","","should return country details based on placeId",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","13","ItineraryController","findOne","","","","should throw ForbiddenException if user is not authorized",""
"skipped","Sun Mar 30 08:59:26 GMT 2025","","","ItineraryService","findMyItineraries","","","","should handle overflow page numbers",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","4","PreRegisterService","getReferralCode","","","","should return user referral code and count",""
"skipped","Sun Mar 30 08:59:26 GMT 2025","","","ItineraryService","findAllTags","","","","should return an empty array if there are no tags",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","5","ItineraryController","markAsComplete","","","","should mark itinerary as complete",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","11","ItineraryController","createItinerary","","","","should create an itinerary without tags",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","3","PaginationDto","","","","","should transform page to a number",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","6","RefreshStrategy","","","","","should be defined",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","2","AuthController","register","","","","should call authService.register with correct data",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","42","PreRegisterService","createPreRegister","","","","should create a new user and send confirmation email",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","5","ItineraryController","createItinerary","","","","should pass errors from service to the caller",""
"passed","Sun Mar 30 08:59:29 GMT 2025","Sun Mar 30 08:59:29 GMT 2025","5","TicketService","","","","","should be defined",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","3","AuthGuard","","","","","should allow access if token is valid",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","19","AuthGuard","","","","","should be defined",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","3","RefreshStrategy","","","","","should throw UnauthorizedException if user not found",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","1","AuthController","verify","","","","should call authService.verify with correct data",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","7","AuthService","sendVerification","","","","should send verification email if user exists",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","7","AuthGuard","","","","","should throw UnauthorizedException if token is not provided",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","130","AuthService","register","","","","should throw NotFoundException if user is not found",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","5","ItineraryController","removeItinerary","","","","should call remove() in the service and delete an itinerary",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","22","ItineraryController","findAllTags","","","","should return an empty array if no tags are found",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","3","PreRegisterService","_generateTicket","","","","should delete the oldest ticket if more than 5 exist",""
"skipped","Sun Mar 30 08:59:26 GMT 2025","","","ItineraryService","findOneItinerary","","","","should return itinerary when found and user has access to it",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","6","ItineraryController","findOne","","","","should return an itinerary when found",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","4","AuthService","verify","","","","should throw UnauthorizedException if firstNames do not match",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","4","AuthGuard","","","","","should throw UnauthorizedException if token has expired",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","3","PreRegisterService","getReferralCode","","","","should throw BadRequestException if user is not found",""
"passed","Sun Mar 30 08:59:29 GMT 2025","Sun Mar 30 08:59:29 GMT 2025","6","PaymentService","","","","","should be defined",""
"skipped","Sun Mar 30 08:59:26 GMT 2025","","","ItineraryService","createItinerary","","","","should create an itinerary with default section title, empty blocks, and empty tags",""
"passed","Sun Mar 30 08:59:27 GMT 2025","Sun Mar 30 08:59:27 GMT 2025","7","ItineraryController","findOne","","","","should throw NotFoundException if itinerary is not found",""
"skipped","Sun Mar 30 08:59:26 GMT 2025","","","ItineraryService","updateItinerary","","","","should update an itinerary with defaults for deleted/missing fields",""
"passed","Sun Mar 30 08:59:28 GMT 2025","Sun Mar 30 08:59:28 GMT 2025","11","StaticController","","","","","should be defined",""
